full_name,author_id
Winfried Sebald,125
Andrei Tarkovsky,126
David Harvey,127
Werner Hamacher,128
Steve Fuller,129
Francesca Ferrando,130
Max Weber,131
Emile Durkheim,132
Sergei Lvovsky,133
Hadas Weiss,134
Anton Dolin,135
Michel Pasturo,136
Annie Ernaux,137
Liv Strцmquist,138
Maggie Nelson,139
Joan Didion,140
Max Frisch,141
Virginie Depante,142
Siegfried Unseld,143
Rainer Maria Rilke,144
Robert Musil,145
Marguerite Duras,146
Robert Walser,147
Peter Weiss,148
Bertolt Brecht,149
Nikolai Solodnikov,150
Ceslav Milos,151
Marcel Ziganshin,152
Peter Nadas,153
Glenn Gould,154
Anne Marie Schmidt,155
John Cage,156
Hans Wollschleger,157
Charles Baudelaire,158
Lyalya Kandaurova,159
Hector Garcia,160
Ilse Sand,161
Manfred de Vries,162
Dave Burgess,163
Viktor Frankl,164
Malcolm Gladwell,165
Mason Currey,166
Ayn Rand,167
Aleksey Polyarinov,168
Shimi Kang,169
Doug Lockhart,170
Samvel Farmanyan,171
Ռ․ Միրզոյան,172
Priest Tovma Andreasyan (Vahan),173
Yuval Noah Harari,174
Russell Jones,175
Christian Figueres,176
Colson Whitehead,177
Elena Ferrante,178
Dipesh Chakrabarty,179
Anna Bronovitskaya;Nikolay Malinin;Olga Kazakova,180
Pavel Pepperstein,181
Victor Misiano,182
Anna Bronovitskaya,183
Naum Kleiman,184
Robert Byrd,185
Elizabeth Axel,186
Narine Abgaryan,187
Anna Gavalda,188
Lev Grossman,189
Lane Campbell,190
Nassim Nicholas Taleb,191
Alfred Lehmann,192
David Lawrence,193
Stendhal,194
Nora Gal,195
Kobo Abe,196
Jack London,197
William Wilkie Collins,198
Evelyn Waugh,199
Gustave Flaubert,200
Guy de Maupassant,201
William Thackeray,202
Maurice Druon,203
Tinatin Mzhavanadze,204
Clotilde Dusoulier,205
Katie Parla,206
Charles Dickens,207
Simon Jenkins,208
John Norwich,209
Robert Jordan,210
James Howes,211
Paul Valery,212
Jacob Kennedy,213
Jeremy Black,214
Winston S. Churchill,215
Nicholas Sparks,216
Armen Gasparyan,217
Sarah Maas,218
Richard Henry Pitt Mason,219
Roberto Osti,220
Lawrence Rees,221
John Kay,222
Joseph Curtis,223
Selma Ottilia Lovisa Lagerlцf,224
Victor Hugo,225
Rudyard Kipling,226
Arsene Wenger,227
Aldous Huxley,228
Sergey Kozlov,229
Gregory Oster,230
Andrey Bitov,231
Sona Abgaryan,232
Vladimir Sorokin,233
Alexander Volkov,234
Hermann Hesse,235
Ivan Bunin,236
Victor Dragunsky,237
Rudolf Raspe,238
Arkady Gaidar,239
Lyudmila Petranovskaya,240
Dante Alighieri,241
Stephen King,242
Stephen Friar,243
Loomis J.Carol,244
Jeremy Gutsche,245
Eric Berger,246
Klaus Schwab,247
Robert Schoenberg,248
Yu-Kai Chou,249
Wijnand Jongen,250
Alex Banayan,251
Meghan McNeely,252
Patti McCord,253
Նորեկ Գասպարյան,254
Svetlana Shmakova,255
Ռիչարդ Օսման,256
Makoto Inoue,257
Haruichi Furudate,258
Sui Ishida,259
Tsugumi Ohba,260
Satenik Artenyan,261
Gregory Diehl,262
Emma Chookaszian,263
Ernest Hemingway,264
Edith Wharton,265
Simone de Beauvoir,266
J. B. Mackinnon,267
Oded Galor,268
Erin Morgenstern,269
Ռենսոմ Ռիգս,270
Նարեկ Վարդանյան,271
Suren Muradyan,272
Diana Hambartsumyan,273
Suren Sargsyan,274
Patrick Buchanan,275
Benedict Spinoza,276
Grig,277
Vahan Yerkneshyan,278
Էլիզաբեթ Վարդանյան,279
Հակոբ Մովսես,280
Alan Whitehorn,281
John Amaechi,282
Norman Doidge,283
Richard Verdi,284
Tigran Hayrapetyan,285
Կարեն Բեքարյան,286
Rafik Suvaryan,287
Հ․ Ս․ Միքայելյան,288
Erich Maria Remarque,289
Թոնդրակ,290
Carson McCullers,291
Colleen Hoover,292
Dawn Ades;Neil Cox;David Hopkins,293
Desmond Morris,294
Azat Yeghiazaryan,295
Raffi,296
Vahagn Grigoryan,297
Մարիաննա Շահպարոնյան,298
Peter Handke,299
Evgeny Vodolazkin,300
A.F. Steadman,301
Cassandra Clare,302
Jennette McCurdy,303
Christina Burrus,304
Susie Hodge,305
Martin Gayford;David Hockney,306
Claudia Walde,307
Martin Salisbury,308
Dominic Bradbury,309
Patrick Baty,310
Tyler Brule;Andrew Tuck;Joe Pickard,311
Amy Dempsey,312
Michael Bierut,313
Susan Herbert,314
Amelia Calver,315
Frank Herfort,316
Marin Montagut,317
Catherine Grenier,318
Ecole Ferrandi,319
Damien MacDonald,320
Arseniy Kotov,321
Jen Campbell,322
Beatrice Alemagna,323
David Hockney;Martin Gayford,324
David Bate,325
Natalie Rudd,326
Ralph Skea,327
Flavia Frigeri,328
Simon Armstrong,329
Belinda Thomson,330
Patrick Mauries;Adelia Sabatini,331
Susannah Frankel,332
Alfons Kaiser,333
Mary Richards;David Schweitzer,334
Linda Nochlin,335
Daniele Bott,336
Tim Blanks,337
Frank Whitford,338
Whitney Chadwick,339
Graham Reynolds,340
Christopher White,341
Paul Joannides,342
James H. Rubin,343
Roland Penrose,344
Dawn Ades,345
Kathleen Raine,346
Juliet Hacking,347
Henry James,348
Kate Chopin,349
Jane Austen,350
Wilkie Collins,351
Gaston Leroux,352
Robert Louis Stevenson,353
Bram Stoker,354
Harriet Beecher Stowe,355
Virginia Woolf,356
Sun Tzu,357
Arthur Rackham,358
William Shakespeare,359
George Bernard Shaw,360
Olivie Blake,361
Julia Donaldson,362
Cindy Wume,363
Don Delillo,364
Douglas Adams,365
Oliver Sacks,366
Oprah Winfrey,367
Cormac McCarthy,368
John Cooper Clarke,369
Ken Follett,370
Nathan Hill,371
Roman Krznaric,372
Oliver James,373
Ted Chiang,374
Jon Krakauer,375
Christine Hannah,376
Emily Bronte,377
Miguel de Cervantes,378
Anton Chekhov,379
Roberto Saviano,380
Roberto Bolano,381
Charlotte Bronte,382
Daniel Defoe,383
Arthur Conan Doyle,384
George Eliot,385
Kahlil Gibran,386
Rubina Nazaryan,387
Richard H. Thaler,388
Alexander Pushkin,389
Jennifer Lynn Barnes,390
Karen M. McManus,391
Trisha Ashley,392
Rachel Morrisroe,393
Kate Atkinson,394
John Boyne,395
Ian Kershaw,396
Fredrik Backman,397
Eric Carle,398
Terry Pratchett,399
Jonathan Coe,400
Adolf Hitler,401
Dolly Alderton,402
Marlon James,403
Lee Child,404
Niall Ferguson,405
Lea Ypi,406
Italo Calvino,407
Mikhail Khodorkovsky;Martin Sixsmith,408
Michael Moss,409
Nicole Kobie,410
Liaquat Ahamed,411
Maria Ressa,412
Yotam Ottolenghi;Noor Murad;Ottolenghi Test Kitchen,413
Colm Toibin,414
Walter Isaacson,415
Paruyr Sevak,416
Kostan Zaryan,417
Zare Vorpuni,418
Արմեն Հակոբյան,419
Mikhail Simonov,420
Henri Troyat,421
Vladimir Vysotsky,422
Brothers Grimm,423
Լեո,424
Նվարդ Թումանյան,425
Ինեսսա Թամեյան,426
Stefan Zweig,427
Thomas Man,428
Franz Kafka,429
Johann Wolfgang von Goethe,430
Sebastian Hafner,431
Florian Illies,432
Արթուր Սարգսյան,433
Winfried Georg Sebald,434
Friedrich Nietsche,435
Hannah Arendt,436
Gunter Grass,437
Patrick Suskind,438
Bernhard Schlink,439
Marietta Sahakyan,440
Լինդա Բերտոլա,441
Աննա Կոնջորյան,442
Garegin Nzhdeh,443
Հերմինե Մխիթարյան,444
Արա Արթյան,445
Artavazd Tumanyan,446
Միրցա Հալաջյան,447
Կալիդասա,448
Friedrich Holderlin,449
William Golding,450
Margaret Atwood,451
Yoko Tawada,452
James Matthew Barrie,453
Gyulnara Palikyan,454
Մարինե Ալես,455
Զառա Սարիբեկյան,456
Susanna Pilosyan,457
Daniel Kothenschulte,458
Andreas J. Hirsch,459
Barbara Hitchcock,460
Mariana Hanstein,461
Janis Mink,462
Philip Jodidio,463
Rolf G. Renner,464
Hajo Duchting,465
Tomoko Sato,466
Reinhard Steiner,467
Annie Leibovitz;Steve Martin;Graydon Carter;Hans Ulrich Obrist;Paul Roth,468
Jens Müller,469
Carol Dweck,470
Serzh Sargsyan,471
Է. Բ. Ուայթ,472
Susanna Lalayants,473
Mary Hakobyan,474
Khachik Teteyan,475
Jacob Oshaka,476
Armenui Sisyan,477
Adam Grant,478
Reed Hastings,479
Julie Zhuo,480
Brianna Wiest,481
Mariam Petrosyan,482
Samvel Bisharyan,483
Nikolay Nekrasov,484
Ed Catmull,485
Carl Gustav Jung,486
Anne Helen Petersen,487
Michael Roach,488
Victor Pelevin,489
Jack Kerouac,490
Leo Tolstoy,491
Lodovica Cima,492
Fyodor Dostoevsky,493
Richard Brautigan,494
William Shirer,495
Charles Duhigg,496
Samuel Marshak,497
Zbigniew Brzezinski,498
Dale Carnegie,499
Karl Marx,500
Leigh Bardugo,501
Igor Gusev,502
Henry Kissinger,503
Mikhail Gershenzon,504
Sam Bayer,505
Henry Ford,506
Howard Lovecraft,507
Honore de Balzac,508
Alfred Adler,509
Sigmund Freud,510
A.V. Vashchenko,511
Boris Akunin,512
Leonid Yakhnin,513
Mark Twain,514
Մագդա Թախտաճյան,515
Leila Slimani,516
Dan Brown,517
Koryun Arakelyan,518
Նաիրա Սահակյան,519
Tom Nichols,520
Ara Tadevosyan,521
Arpi Vanyan,522
Լովիսա Բուրֆիտ,523
Johanna Blightman,524
Adam Minter,525
Alex Michaelides,526
Bill Sullivan,527
Helena Blavatskaya,528
Roman Mars,529
Olga Primachenko,530
Elisabeth Kubler-Ross,531
Sarah Bakewell,532
Theresa Phinney,533
Mark Levinson,534
Menno Schilthuizen,535
David Bentley Hart,536
Jeremy Lazarus,537
Michael Coe,538
Rory Power,539
Adam Silvera,540
Gary Nunn,541
Mara Altman,542
Thomas Myers,543
Philip Kotler,544
Benjamin Franklin,545
Antoine de Saint-Exupery,546
Bodour Al Qasimi,547
J. D. Macddougall,548
Nikoghos Sarafyan,549
Rene Descartes,550
Jonathan Swift,551
Viva Brashkute,552
Margarita Grachova,553
Erwin Schrцdinger,554
Jeff Walker,555
Susan Forward,556
Greg Horine,557
Fredric Backman,558
Paul Ekman,559
Graeme Simsion,560
Roy Chen,561
Ellen Feldman,562
Michel Bussi,563
Socrates,564
Scott Galloway,565
Edith Leigh,566
Fyodor Dostoyevsky,567
Raffi Kortoshyan,568
Hovhannes Yeranyan,569
Edik Ghabuzyan,570
Julia Samuel,571
Robert Sapolsky,572
Elizabeth Gilbert,573
Sally Rooney,574
Rudolf Steiner,575
Jordan Peterson,576
Natalia Perevezentseva,577
Sara Pennypacker,578
Nina Osovitskaya,579
John Maxwell,580
Tracey Osborne,581
Eckhart Tolle,582
Robin Nixon,583
Jessica Townsend,584
Eric Matthes,585
Michael Mann,586
Aleksandr Luria,587
Ayelet Gundar-Goshen,588
John Kehoe,589
Karl Witte,590
Matt Haig,591
Umberto Eco,592
Roald Dahl,593
Denis Donikyan,594
Roman Vasilenko,595
David Servan-Schreiber,596
Jonathan Franzen,597
Daria Stepanyan,598
Blaise Pascal,599
Paolo Sorrentino,600
Valery Pilaev,601
Igor Ribakov,602
Heraclitus,603
Sen Hovhannisyan,604
Clive Staples Lewis,605
Artak Matevosyan,606
Tigran Sargsyan,607
Jim Collins,608
Cheluchi Onyemelukwe,609
Vishnu Sharma,610
Armen Marjinyan,611
Javier Marias,612
Isaac Asimov,613
Susanna Abazyan,614
Gevorg Brutyan,615
Georges Simenon,616
Jules Verne,617
Alessandro Manzoni,618
Axel Bakunts,619
Meruzhan Harutyunyan,620
Simar,621
Սագօ Արեան,622
Shahan Shahnour,623
Muriel Barbery,624
Mark Levy,625
Graham Greene,626
Gabriel Garcia Marquez,627
Sean Smith,628
Mher Sahakyan,629
Federico Garcia Lorca,630
Camilo Jose Sela,631
Erika Doss,632
Astghik Hovhannisyan,633
Vagharshak Khachatryan,634
Isabel Allende,635
Mamikon Hejaz,636
Salvador Comelles,637
Nar-Dos,638
Gurgen Mahari,639
Samvel Karapetyan,640
David Avanesyan,641
Mikhail Artsybashev,642
Angela Nanetti,643
Ken Kesey,644
Maryana Savka,645
Raymond Chandler,646
Carlos Ruiz Zafon,647
Emily Oster,648
Amber Lily,649
Rachel Ignotofsky,650
Naomi Wolf,651
Arthur Golden,652
Andrew Murray,653
Nicky Hayes,654
Jenny Copper,655
Georgina Wren,656
Dan Simmons,657
Maryanne Wolf,658
Neal Layton,659
Jamie French,660
Emily Gravett,661
Jessie Burton,662
Misak Gochunian,663
Yervant Srmakeshkhanlian,664
Toros Azatyan,665
Louis Carol,666
Ara Yernjakyan,667
Hovik Afyan,668
Էլինոր Փորթեր,669
George Orwell,670
Lori Gottlieb,671
Louise Hey,672
Irwin Yalom,673
Paul Oster,674
J. D. Salinger,675
Riordan Rick,676
Joe Dispenza,677
Robert Cialdini,678
Bernard Werber,679
Jim Lawless,680
Mikhail Labkovsky,681
Nikolay Gogol,682
Meagan Brandy,683
Kazuo Ishiguro,684
Angus J Macdonald,685
Nick Hornby,686
Nastja Holtfreter,687
Prof Raman Prinja,688
Tobias Capwell,689
Michael Connelly,690
Shawn Bythell,691
Robert Green,692
Francis Fukuyama,693
Richard Russo,694
Michel Faber,695
Dino Buzzati,696
Alessandro Baricco,697
Andre Aciman,698
Cath Caldwell,699
Anna Todd,700
Bob Dylan,701
Ringo Starr,702
Rupi Kaur,703
Anthony Doerr,704
H.P. Lovecraft,705
Madeline Miller,706
Eugene Ionesco,707
Louis-Ferdinand Celine,708
Alain Robbe-Grillet,709
Chris Kane,710
Tamara Macfarlane,711
Tom Ang,712
Kiki Prottsman,713
Carol Vorderman,714
Nigel Benson,715
Ocean Vuong,716
Toni Morrison,717
John Grisham,718
Tom Fletcher,719
Knko Aper,720
Melkon Hovhannisyan,721
Johann Wolfgang Goethe,722
Gor Karapetyan,723
Siranush Zakharyan,724
Galust Gulbenkyan,725
Pavstos Buzand,726
Vic Johnson,727
Jeffrey Liker,728
Bill Burnett,729
Yitzhak Adizes,730
John Gabarro,731
Davit Torosyan,732
Ashot Amiryan,733
Lyudmila Ulitskaya,734
Delia Owens,735
Sadegh Hedayat,736
D. H. Lawrence,737
Mikhail Bulgakov,738
Sergey Manukyan,739
Siranush Ghaltakhchyan,740
Michel Foucault,741
Hrach Beglaryan,742
Anahit Tadevosyan,743
Wilhelm Gauff,744
Artyom Arustamyan,745
Aram Ganalanyan,746
Fernando Pessoa,747
Pierre Bourdieu,748
Krist Manaryan,749
Peter Thiel,750
Sri Shankaracharya,751
Stephen Covey,752
Lusine Kharatyan,753
Astrid Lindgren,754
Miguel de Unamuno,755
Emilia Pardo Bazan,756
Ar-Men,757
Lorena Pazzalunga,758
Armine Kundakjian,759
Narek Serobyan,760
Ruben Filyan,761
Adie Allen,762
Raffi Shahverdyan,763
John Gray,764
Hovhannes Saroyan,765
Charles Aznavour,766
David Samvelyan,767
Zaruhi Batoyan,768
Ruben Galchyan,769
Spartak Karabakhtsyan,770
Ming Tsung,771
Hamlet Arakelyan,772
Aesop,773
Naira Abrahamyan,774
Manushak Oganesyan,775
Spencer Johnson,776
Aelita Dolukhanyan,777
Richard Chizmar,778
Pavel Basinsky,779
Michael Armstrong,780
John R. R. Tolkien,781
Anna Matveeva,782
Leonid Yuzefovich,783
John Adair,784
Aleksey Varlamov,785
Thomas Hobbes,786
Vladimir Pozner,787
Mahmoud Azar,788
Shamil Idiatullin,789
Frank Herbert,790
Alan Moore,791
Brian Greene,792
Perch Zeytuntsyan,793
Jean-Bernard Cadier,794
Olga Tokarchuk,795
Monique Svazlyan,796
Sigismund Krzyzhanowski,797
Slavenka Drakulic,798
Nikola Duretic,799
Gurgen Khanjyan,800
Ara Ketibian,801
Hovsep Sahakyan,802
Nare Galstyan,803
Niccolo Ammaniti,804
Lusine Abgaryan,805
Timothy Snyder,806
Luke Marie,807
Levon Arzumanyan,808
Sos Sargsyan,809
Guzel Yakhina,810
Antonio Gramsci,811
Larry Sen,812
Gala,813
Սլավի-Ավիկ Հարությունյան,814
Mark Hutten,815
Paruyr Hakobyan,816
Gayane Ananyan,817
Tuklas Atams,818
Mary Richards,819
Alice Harman,820
Aleksandr Sergeyevich Pushkin,821
Shogher Petrosyan,822
Anna Karapetyan,823
Իռնա Վան Զիլ,824
Ronald Asmus,825
Gagik Khachatryan,826
Դենիել Սիգել,827
Նունե Լևոնյան,828
Շուշանիկ Ասատրյան,829
Ալեն Մարգարյան,830
Sona Babajanyan,831
Ջեֆ Քին,832
Lilit Altunyan,833
Gema Sirvent,834
Անդրյու Կատց,835
Ալմաստ Եպիսկոպոսյան,836
Narine Tukhikyan-Khachaturyan,837
Vakhtang Ananyan,838
Davide Cali,839
Arpi Maghakyan,840
Արմինե Մելքումյան,841
Անի Պետրոսյան,842
Բագրատ Գալստյան,843
Ավետիք Իշխանյան,844
Lucy Maud Montgomery,845
Նազար Գաբիկեան,846
Don Miguel Ruiz,847
Karo Vardanyan,848
Aleksey Tolstoy,849
Irina Tokmakova,850
Antoine Galland,851
Astghik Balayan,852
Zhanna Avetisyan,853
Rhonda Byrne,854
Serge Momjian,855
Gayane Bediryan,856
Aram Nazarian,857
Karine Harutyunyan,858
Hamo Sahyan,859
David Gyurjinyan,860
Armen Shekoyan,861
Kirnarskaya Dina Konstantinovna,862
Joel Dicker,863
M.A Gasparyan,864
Hovhannes Zakaryan,865
Amelie Nothomb,866
Andrei Makin,867
Agnis Martin-Lugand,868
Hayk Khachatryan,869
Levon Atanasyan,870
Amalia Babayan,871
Mariam Khlghatyan,872
Herbert Puchta,873
Husik Keshishyan,874
Gayane Abgaryan,875
Andranik Isahakyan,876
Saghatel Harutyunyan,877
Armen Khachikyan,878
Karine Avetisyan,879
Emma Smith,880
Sose Khachibabyan,881
Vahe Lorents,882
Nshan Peshiktaslyan,883
Aren Vanyan,884
Philip K. Dick,885
Anh Dao Pham,886
Evgeny Spiritsa,887
Narine Mirzoyan,888
Lilit Hambartsumyan,889
Zorayr Khalapyan,890
Angela Duckworth,891
Igor Ryzov,892
Robert Martin,893
Robert Leahy,894
Karen Horney,895
Edward Bernays,896
Galina Yuzefovich,897
Matt Groening,898
Michelle Wellbeck,899
Leonardo da Vinci,900
Musashi Miyamoto,901
Koryun Baghdasaryan,902
Lilit Petrosyan,903
Lilit Ter-Grigoryan,904
Herbert Wells,905
Ashot Galstyan,906
Thomas Mayne Reid,907
Armenuhi Demirchyan,908
Silva Kaputikyan,909
Vardush Gyozalyan,910
Gayane Mkrtchyan,911
Arsen Nerses,912
Atabek Adamyan,913
Shushanik Israelyan,914
R.S. Khachatryan,915
Tamara Tovmasyan,916
Ake Daun,917
Ani Yan,918
Narek Topuzyan,919
Karen Gharslyan,920
Francis Hodgson Barnett,921
Gohar Yeghiazaryan,922
Kendzaburo Oe,923
Adele Kamel,924
Vahram Martirosyan,925
Stanislav Lem,926
Emilio Salgari,927
Raphael Sabatani,928
Anushavan Poghosyan,929
Kate Ferrazzi,930
Paul Brown,931
Husik Ara,932
Elif Shafak,933
Francois Mauriac,934
Muratsan,935
Albert Mkrtchyan,936
Francis Scott Fitzgerald,937
Ani Mirzoyan,938
Marcel Proust,939
Vincent Van Gogh,940
Dan Johns,941
Valko,942
Liana Moriarty,943
Eric-Emmanuel Schmitt,944
Nita Prose,945
Elif Safak,946
Ani Galajian,947
Hakobyan Zaruhi,948
Armen Amiryan,949
Don Singer,950
Zara Babayan,951
Jerome. D. Salinger,952
Georgi Gospodinov,953
David Galfayan,954
Vazgen Sargsyan,955
Ruben Melkonyan,956
Jean-Francois Lyotard,957
Anjali Mahto,958
Fernando Aramburu,959
Syune Sevada,960
Ruslan Pukhov,961
John Updike,962
Sash,963
Armenuhi Jamulyan,964
Khachatur Avetisyan,965
Ghazaros Aghayan,966
A. A. Listengort,967
K. Armen,968
F.V. Oskanyan,969
Anania Shirakatsi,970
Sargis Hovsepyan,971
Alexey Pomigalov,972
Josh Kaufman,973
Goce Smilevsky,974
Mariam Gevorgyan,975
Zaruhi Arakelyan,976
Sargis Vahagn,977
Sati Spivakova,978
Aki Olikainen,979
Grigor Narekatsi,980
Hasmik Mitoyan,981
Zine Mamoyan,982
Yeghine Khachatryan,983
Gevorg Papiryan,984
Khaled Hosseini,985
S.E. Hinton,986
William Faulkner,987
Mark Grigoryan,988
Ghukas Sirunyan,989
Shushan Sargsyan,990
Anahit Margaryan,991
Mario Vargas Llosa,992
Artemy Magun,993
Samuel Morse,994
Mary Wollstonecraft,995
Lambert Nat,996
Voit Marie,997
Beatrix Potter,998
Lisa Moka,999
David Mikics,1000
David Foster Wallace,1001
Erich Fromm,1002
McAuley David,1003
Monvige-Montvid Alexander,1004
Sobe-Panek Marina,1005
Cindy Wam,1006
Jennifer Armentrout,1007
Christina Stark,1008
Alexander Auzan,1009
Chetkova Natalia,1010
Fabi Santiago,1011
Hippenreiter Julia,1012
Jean Cocteau,1013
Jazzo Mimoda,1014
Michael Fuchs-Gambock;Torsten Schatz,1015
Pippa Kernik,1016
Philip Roth,1017
Pramod Kapoor,1018
Vittorio Sgarbi,1019
Natalia Semenova,1020
Jonathan Jones,1021
Geraldine Norman,1022
Alexander Vasiliev,1023
Christie Anderson,1024
Paula Hawkins,1025
Michel Houellebecq,1026
Anthony Horowitz,1027
Alastair Sooke,1028
Salman Rushdie,1029
Thomas Wolfe,1030
Henry Miller,1031
Mark Stevens,1032
Walter Benjamin,1033
Simon Schama,1034
Vitruvius,1035
Raymond Carver,1036
Jerome David Salinger,1037
Zadie Smith,1038
Filippo Tommaso Marinetti,1039
Kurt Vonnegut,1040
Derek Jarman,1041
John Steinbeck,1042
Marc Chagall,1043
Dorothy Parker,1044
Sue Roe,1045
Tara Westover,1046
Sarah Urist Green,1047
Audre Lorde,1048
Barnabas Calder,1049
J. G. Ballard,1050
C.S. Lewis,1051
Chimamanda Ngozi Adichie,1052
Khachatur Abovyan,1053
William Blake,1054
Susanna Clarke,1055
Italo Svevo,1056
Joan Lennon,1057
Elton John,1058
Justine Picardie,1059
Bryan Lee O'Malley,1060
Leopold von Sacher-Masoch,1061
O. Henry,1062
Shahen Tatikyan,1063
Narek Avetisyan,1064
Vardan Abovyan,1065
Jojo Moyes,1066
Onofrio Catacchio,1067
Jessica Cerasi,1068
Richard Dawkins,1069
Paul Dini,1070
Patricia Allmer,1071
Gwyneth Holland,1072
Marc Hagan-Guirey,1073
Hettie Judah,1074
William McLean,1075
Stephen Eskilson,1076
Harriet Posner,1077
Michael Cothren,1078
Daniela Jaglenka Terrazzini,1079
Musa Mayer,1080
Robert Shore,1081
Joanna Ebenstein,1082
Aidan Onn,1083
Colin Davies,1084
Miriam Waszelewski,1085
Owen Hopkins,1086
Geoffrey Makstutis,1087
James Cahill,1088
Robert Dimery,1089
Morag Styles,1090
Ernst Theodor Amadeus Hoffmann,1091
Kenneth Grahame,1092
Wally Koval,1093
David Ebershoff,1094
Julia Quinn,1095
Daniel Keyes,1096
Zeren Wilson,1097
Bill Posters,1098
Selwyn Leamy,1099
Jason Draper,1100
Mary Warner Marien,1101
Michael Bird,1102
Danielle Selber,1103
Layla Saad,1104
Joanna Thornhill,1105
Simon Doonan,1106
Tshepo Mokoena,1107
George Carlin,1108
Pavel Florensky,1109
Mikhal Ayvaz,1110
Zhan Ci-Yan,1111
Joseba Sarionandia,1112
Ingeborg Bachmann,1113
Iosif Brodsky,1114
Fyodor Sologub,1115
Wu Chun,1116
Andrey Biely,1117
Immanuel Mifsud,1118
Hrant Aleksanyan,1119
Vapel Basinski,1120
Mikhail Bakhtin,1121
Dong Qiang,1122
Wan Cuoliang,1123
Lyudmila Petrushevskaya,1124
Aleksandr Solzhenitsyn,1125
Zhang Yawen,1126
Andrey Volos,1127
Confucius,1128
Lusine Hovhannisyan,1129
Yuri Sahakyan,1130
Eugen Ruge,1131
Fredrik Buckman,1132
Saro Vamvunaki,1133
Arkmenik Nikoghosyan,1134
Wolfgang Tillmans,1135
Christo and Jeanne-Claude,1136
Gustav Schwab,1137
Magdalena Droste,1138
Joaquim Paulo,1139
Simon Wood,1140
Vahan Tekeyan,1141
Ingo Walther,1142
Julius Wiedemann,1143
Peter Lindbergh,1144
Hannah Weitemeier,1145
Volkmar Essers,1146
Jacob Baal -Teshuva,1147
Tobias Natter,1148
Warsi Stefan,1149
Ambroise Vollard,1150
Demir Syonmez,1151
Juan Ramon Jimenez,1152
Richard Lepsius,1153
Dina Le Gall,1154
William Miller,1155
Nathalie Tocci,1156
